nuts1_region,country_code,trust_index,voting_behavior_manifest,radical_right_vote,immigrants_impact_country,educ_attainment,gender,age,delta_nuts1_gdp_percap_pps_pct_eu_avg_5yr,delta_nuts1_unemployment_rate_5yr,delta_nuts1_net_migration_2yr,cluster_k6
EL3,GR,5.0,Valid Party Vote,0.0,1.0,4.0,0,21.0,1,-11.6,-0.5,4
EL5,GR,2.6666666666666665,Ineligible / Not Applicable,,3.0,4.0,1,63.0,0,-8.2,3.4,0
EL6,GR,6.0,Ineligible / Not Applicable,,10.0,2.0,1,49.0,1,-7.300001,1.2,0
EL6,GR,4.0,Valid Party Vote,0.0,2.0,6.0,0,38.0,1,-7.300001,1.2,0
EL4,GR,3.0,Refuse to Say,,6.0,6.0,1,42.0,-3,-6.3999996,0.3,0
EL3,GR,7.0,Valid Party Vote,0.0,4.0,4.0,1,74.0,1,-11.6,-0.5,4
EL6,GR,1.3333333333333333,Valid Party Vote,0.0,6.0,4.0,1,54.0,1,-7.300001,1.2,0
EL5,GR,3.3333333333333335,Valid Party Vote,0.0,1.0,4.0,1,35.0,0,-8.2,3.4,0
EL6,GR,3.3333333333333335,Valid Party Vote,0.0,5.0,4.0,1,49.0,1,-7.300001,1.2,0
EL5,GR,2.6666666666666665,Ineligible / Not Applicable,,3.0,2.0,1,66.0,0,-8.2,3.4,0
EL6,GR,3.3333333333333335,Ineligible / Not Applicable,,5.0,2.0,1,16.0,1,-7.300001,1.2,0
EL5,GR,1.6666666666666667,Valid Party Vote,0.0,2.0,2.0,1,67.0,0,-8.2,3.4,0
EL6,GR,5.0,Valid Party Vote,0.0,4.0,6.0,1,29.0,1,-7.300001,1.2,0
EL3,GR,5.333333333333333,Valid Party Vote,0.0,2.0,2.0,0,42.0,1,-11.6,-0.5,4
EL3,GR,5.333333333333333,Valid Party Vote,0.0,4.0,6.0,1,36.0,1,-11.6,-0.5,4
EL5,GR,3.3333333333333335,Valid Party Vote,0.0,7.0,2.0,0,42.0,0,-8.2,3.4,0
EL5,GR,1.6666666666666667,Ineligible / Not Applicable,,,4.0,0,25.0,0,-8.2,3.4,0
